run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.returns_std_dev,metrics.returns_median,metrics.total_net_sales_median,metrics.net_quantity_median,metrics.net_quantity_mean,metrics.gross_sales_mean,metrics.discounts_mean,metrics.net_quantity_std_dev,metrics.discounts_std_dev,metrics.total_net_sales_std_dev,metrics.total_net_sales_mean,metrics.gross_sales_median,metrics.returns_mean,metrics.gross_sales_std_dev,metrics.discounts_median,tags.mlflow.user,tags.mlflow.source.name,tags.operation,tags.mlflow.source.type,tags.changed_at,tags.mlflow.runName
b05a648be1bc4e13b2f5b0f1e8949784,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/b05a648be1bc4e13b2f5b0f1e8949784/artifacts,2023-07-28 12:24:59.864000+00:00,2023-07-28 12:25:04.893000+00:00,619616.4005936369,1821.5,4788.0,1245.0,80723.27777777778,243557323282.33334,271699.19999999995,282069.7419470844,519483.68715050817,2620201.7270102585,881960.7,7468.0,314367.44444444444,560399586560.9006,1673.0,user,changes_log.py,INSERT,LOCAL,2023-07-20 18:08:22.303536,2023-07-20 18:08:22
912be889a3cd45a89dc116f9bfebdb91,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/912be889a3cd45a89dc116f9bfebdb91/artifacts,2023-07-28 12:24:54.823000+00:00,2023-07-28 12:24:59.833000+00:00,619616.4005936369,1821.5,4788.0,1245.0,80723.27777777778,243557323282.33334,271699.19999999995,282069.7419470844,519483.68715050817,2620201.7270102585,881960.7,7468.0,314367.44444444444,560399586560.9006,1673.0,user,changes_log.py,INSERT,LOCAL,2023-07-20 17:34:12.109977,2023-07-20 17:34:12
172f4644b0564681b2d1952b60bccf7a,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/172f4644b0564681b2d1952b60bccf7a/artifacts,2023-07-28 12:24:49.166000+00:00,2023-07-28 12:24:54.794000+00:00,619616.4005936369,1821.5,4788.0,1245.0,80723.27777777778,243557323282.33334,271699.19999999995,282069.7419470844,519483.68715050817,2620201.7270102585,881960.7,7468.0,314367.44444444444,560399586560.9006,1673.0,user,changes_log.py,INSERT,LOCAL,2023-07-20 15:39:17.829699,2023-07-20 15:39:17
73c1aa557a664cee8fe8c155925a666c,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/73c1aa557a664cee8fe8c155925a666c/artifacts,2023-07-28 12:24:44.638000+00:00,2023-07-28 12:24:49.134000+00:00,619616.4005936369,1821.5,4788.0,1245.0,80723.27777777778,243557323282.33334,271699.19999999995,282069.7419470844,519483.68715050817,2620201.7270102585,881960.7,7468.0,314367.44444444444,560399586560.9006,1673.0,user,changes_log.py,INSERT,LOCAL,2023-07-20 14:27:30.400042,2023-07-20 14:27:30
5343ecf072b54d53b73953bfbf5e3da0,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/5343ecf072b54d53b73953bfbf5e3da0/artifacts,2023-07-28 12:24:40.884000+00:00,2023-07-28 12:24:44.607000+00:00,619616.4005936369,1821.5,4788.0,1245.0,80723.27777777778,243557323282.33334,271699.19999999995,282069.7419470844,519483.68715050817,2620201.7270102585,881960.7,7468.0,314367.44444444444,560399586560.9006,1673.0,user,changes_log.py,INSERT,LOCAL,2023-07-20 14:03:18.556567,2023-07-20 14:03:18
0aec3087b43244ea81a9544350f6f512,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/0aec3087b43244ea81a9544350f6f512/artifacts,2023-07-28 12:24:36.727000+00:00,2023-07-28 12:24:40.852000+00:00,619616.4005936369,1821.5,4788.0,1245.0,80723.27777777778,243557323282.33334,271699.19999999995,282069.7419470844,519483.68715050817,2620201.7270102585,881960.7,7468.0,314367.44444444444,560399586560.9006,1673.0,user,changes_log.py,DELETE,LOCAL,2023-07-20 12:29:44.024608,2023-07-20 12:29:44
38b55779c65640b5b0b4a47d1509f90d,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/38b55779c65640b5b0b4a47d1509f90d/artifacts,2023-07-28 12:24:32.754000+00:00,2023-07-28 12:24:36.695000+00:00,619616.4005936369,1821.5,4788.0,1245.0,80723.27777777778,243557323282.33334,271699.19999999995,282069.7419470844,519483.68715050817,2620201.7270102585,881960.7,7468.0,314367.44444444444,560399586560.9006,1673.0,user,changes_log.py,DELETE,LOCAL,2023-07-20 10:51:34.570222,2023-07-20 10:51:34
da88c920ab6742f492cd56eb86fbce27,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/da88c920ab6742f492cd56eb86fbce27/artifacts,2023-07-28 12:24:28.114000+00:00,2023-07-28 12:24:32.739000+00:00,565890.8193471249,1643.0,4576.0,1245.0,85398.4705882353,171922846172.88235,214556.56470588237,290031.075443244,473583.42754644214,2695448.5450095274,842949.8588235294,3825.0,246655.11764705883,485320278232.05817,1346.0,user,changes_log.py,DELETE,LOCAL,2023-07-20 10:39:42.724237,2023-07-20 10:39:42
9208d511845c47c79daae2c2511e77b9,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/9208d511845c47c79daae2c2511e77b9/artifacts,2023-07-28 12:24:24.236000+00:00,2023-07-28 12:24:28.090000+00:00,565890.8193471249,1643.0,4576.0,1245.0,85398.4705882353,171922846172.88235,214556.56470588237,290031.075443244,473583.42754644214,2695448.5450095274,842949.8588235294,3825.0,246655.11764705883,485320278232.05817,1346.0,user,changes_log.py,DELETE,LOCAL,2023-07-20 10:18:48.190631,2023-07-20 10:18:48
f4270a5d56aa41a38c9889ca77182837,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/f4270a5d56aa41a38c9889ca77182837/artifacts,2023-07-28 12:24:20.438000+00:00,2023-07-28 12:24:24.204000+00:00,565890.8193471249,1643.0,4576.0,1245.0,85398.4705882353,171922846172.88235,214556.56470588237,290031.075443244,473583.42754644214,2695448.5450095274,842949.8588235294,3825.0,246655.11764705883,485320278232.05817,1346.0,user,changes_log.py,DELETE,LOCAL,2023-07-20 10:18:48.190631,2023-07-20 10:18:48
